   ing    |                                                                                                                                                                                              units                                                                                                                                                                                               
----------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 10005    | ["fillets", "grams", "kgs", "ounces", "pound", "pounds", "strips"]
 1001     | ["", "C", "Cs", "Cups", "Stick", "TBSP", "TBSPs", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "cans", "cup", "cups", "gms", "grams", "mL", "mLs", "milliliters", "ounce", "ounces", "pound", "pounds", "serving", "servings", "stick", "sticks", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1001001  | ["Cs", "Stick", "Tablespoon", "Tablespoons", "Tbs", "Tbsps", "cup", "cups", "grams", "ounces", "pounds", "servings", "stick", "sticks", "tablespoon", "tablespoons", "teaspoons"]
 1001004  | ["Cs", "cup", "cups", "ounces", "servings", "tablespoons"]
 10010062 | ["", "Pounds", "grams", "inches", "ounces", "pound", "pounds"]
 10010066 | ["ounces", "pound"]
 1001009  | ["Cups", "cup", "cups", "grams", "ounce", "ounces", "package", "pound", "pounds", "servings", "tablespoons"]
 10010123 | ["", "Slice", "grams", "ounce", "ounces", "pounds", "servings", "slices"]
 10010151 | ["", "Lbs", "Slices", "cup", "cups", "ounce", "ounces", "pounds", "slices"]
 1001017  | ["ounces"]
 1001019  | ["cup", "cups", "ounces", "pounds", "servings", "tablespoon"]
 10010204 | ["pound", "pounds", "ribsrib", "slabs"]
 10010219 | ["", "Pounds", "cups", "grams", "ounce", "ounces", "pound", "pounds", "servings"]
 10010225 | ["", "Lbs", "pounds"]
 1001023  | ["cups", "ounce"]
 1001025  | ["", "C", "Cs", "cup", "cups", "grams", "handful", "inches", "leave", "mLs", "ounce", "ounces", "package", "pound", "pounds", "servings", "slice", "slices", "tablespoons"]
 1001026  | ["Cs", "bag", "cup", "cups", "grams", "ounce", "ounces", "pounds", "tablespoons"]
 1001028  | ["cup", "cups", "ounce", "ounces"]
 1001033  | ["cup", "cups", "ounce", "ounces", "pound", "tablespoon", "tablespoons", "tub"]
 1001053  | ["", "Cs", "Tbsps", "cup", "cups", "milliliters", "ounces", "packages", "pint", "servings", "tablespoon", "tablespoons"]
 1001056  | ["Ounces", "Tbsps", "cup", "cups", "grams", "milliliters", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 10011011 | ["bunches", "ounces"]
 10011052 | ["", "ounces", "pounds"]
 10011080 | ["", "cups", "ounces", "pound"]
