    id    |                                                     units                                                      
----------+----------------------------------------------------------------------------------------------------------------
 10005    | ["ounces", "strips"]
 1001     | ["", "cans", "ounces", "servings", "sticks"]
 1001001  | ["ounces", "servings", "sticks"]
 1001004  | ["ounces", "servings"]
 10010062 | ["", "inches", "ounces"]
 10010066 | ["ounces"]
 1001009  | ["ounces", "packages", "servings"]
 10010123 | ["", "ounces", "servings", "slices"]
 10010151 | ["", "ounces", "slices"]
 1001017  | ["ounces"]
 1001019  | ["ounces", "servings"]
 10010204 | ["ounces", "ribs", "slabs"]
 10010219 | ["", "ounces", "servings"]
 10010225 | ["", "ounces"]
 1001023  | ["ounces"]
 1001025  | ["", "inches", "leaves", "ounces", "packages", "servings", "slices"]
 1001026  | ["bags", "ounces"]
 1001028  | ["ounces"]
 1001033  | ["ounces", "tub"]
 1001053  | ["", "ounces", "packages", "servings"]
 1001056  | ["ounces", "servings"]
 10011011 | ["bunches", "ounces"]
 10011052 | ["", "ounces"]
 10011080 | ["", "ounces"]
 10011090 | ["", "bunches", "head", "ounces"]
 10011109 | ["links", "ounces", "servings"]
 10011111 | ["", "leaves"]
 10011114 | [""]
 10011135 | ["", "head", "ounces"]
 10011167 | ["cans", "ounces"]
 10011168 | ["", "cans", "ounces"]
 1001119  | ["ounces"]
 10011205 | [""]
 10011209 | ["", "ounces"]
 10011216 | ["ounces"]
 10011233 | ["bunches", "head", "ounces"]
 10011238 | ["ounces"]
 10011246 | [""]
 10011250 | ["", "leaves"]
 10011251 | ["", "head", "ounces"]
 10011252 | ["", "leaves", "ounces"]
 10011253 | ["ounces"]
 10011257 | ["", "ounces"]
 10011268 | ["", "ounces"]
 10011282 | ["", "ounces", "servings", "slices"]
 10011300 | ["", "ounces"]
 10011333 | ["", "ounces"]
 10011352 | ["ounces"]
 10011355 | ["", "ounces"]
 10011416 | ["servings"]
 10011429 | [""]
 10011457 | ["", "bags", "boxes", "bunches", "leaves", "ounces", "packages", "servings"]
 10011477 | ["ounces"]
 10011485 | ["", "ounces"]
 10011507 | ["", "ounces"]
 10011508 | ["ounces"]
 10011529 | ["", "ounces", "servings"]
 10011531 | ["", "ounces"]
 10011547 | ["ounces"]
 10011549 | ["cans", "envelopes", "jars", "ounces", "packages", "servings"]
 10011632 | ["", "ounces", "servings", "slices"]
 10011643 | [""]
 10011677 | [""]
 1001168  | ["ounces"]
 10011693 | ["", "cans", "ounces"]
 10011696 | ["ounces"]
 10011819 | ["", "ounces", "servings"]
 10011821 | ["", "ounces"]
 10011885 | ["ounces"]
 10011937 | ["", "ounces", "servings", "slices"]
 10011962 | ["", "ounces"]
 10011970 | ["", "head", "ounces"]
 10011987 | ["ounces"]
 10011990 | ["ounces", "servings"]
 10012006 | ["ounces"]
 10012014 | ["", "ounces", "servings"]
 10012023 | ["ounces", "servings"]
 10012061 | ["bags", "ounces", "packages", "servings"]
 10012062 | ["ounces"]
 10012108 | ["ounces", "servings"]
 10012142 | ["", "bunches", "head", "ounces", "slices"]
 10012220 | ["ounces", "servings"]
 1001223  | ["ounces", "scoops"]
 1001256  | ["", "ounces", "servings"]
 10013147 | ["", "ounces", "packages", "racks", "ribs"]
 10013346 | ["", "ounces"]
 10013411 | ["", "cubes", "ounces"]
 10013926 | ["", "ounces"]
 10013954 | ["ounces"]
 10014006 | ["", "ounces"]
 10014037 | ["", "ounces", "packages", "servings"]
 10014052 | ["ounces", "servings"]
 10014057 | ["ounces", "sheets"]
 10014106 | ["ounces"]
 10014136 | ["ounces", "servings"]
 10014214 | ["ounces"]
 10014355 | ["bags", "ounces"]
 10014412 | ["", "bottle", "cubes", "ounces", "servings"]
 10014534 | ["", "ounces"]
 10014623 | ["ounces"]
 10014649 | ["", "ounces"]
